Label,Year,Site,ARMS_number,DSC,Scaled,DSC_extra,Phyla,Class,Order,General_name,Specimen,MorphoID,L_mm,W_g,Notes
ARMS22M#252,2022,Anglaise,2,IMG_0622,Y,IMG_0624,Mollusca,Gastropoda,,Sea_snail,9,ARMSMc#013,2.504,0.061416269,"preserved 2.5 years, mix of morphospecies"
ARMS22M#252,2022,Anglaise,2,IMG_0622,Y,IMG_0624,Mollusca,Gastropoda,,Sea_snail,10,ARMSMc#013,2.836,0.086071253,"preserved 2.5 years, mix of morphospecies"
ARMS22M#252,2022,Anglaise,2,IMG_0622,Y,IMG_0624,Mollusca,Gastropoda,,Sea_snail,11,ARMSMc#013,3.066,0.103707331,"preserved 2.5 years, mix of morphospecies"
ARMS22M#252,2022,Anglaise,2,IMG_0622,Y,IMG_0624,Mollusca,Gastropoda,,Sea_snail,12,ARMSMc#013,3.842,0.166566745,"preserved 2.5 years, mix of morphospecies"
ARMS22M#252,2022,Anglaise,2,IMG_0622,Y,IMG_0624,Mollusca,Gastropoda,,Sea_snail,13,ARMSMc#013,3.609,0.147148688,"preserved 2.5 years, mix of morphospecies"
ARMS21M#251,2021,Anglaise,3,4660,Y,,Mollusca,Gastropoda,,Sea_snail,1,ARMSMc#019,4.75,0.009125,
ARMS21M#251,2021,Anglaise,3,4660,Y,,Mollusca,Gastropoda,,Sea_snail,2,ARMSMc#019,3.47,0.005669,
ARMS21M#251,2021,Anglaise,3,4660,Y,,Mollusca,Gastropoda,,Sea_snail,3,ARMSMc#019,4.58,0.008666,
ARMS21M#372,2021,Moresby,2,5698,Y,,Mollusca,Gastropoda,,Sea_snail,,ARMSMc#019,8.94,0.020438,
ARMS21M#402,2021,Moresby,3,5950,Y,,Mollusca,Gastropoda,,Sea_snail,,ARMSMc#019,5.22,0.010394,
ARMS21M#439,2021,Moresby,3,6038,Y,,Mollusca,Gastropoda,,Sea_snail,,ARMSMc#019,3.99,0.007073,
ARMS19S#013,2019,Coin,1,0378,Y,,Mollusca,Gastropoda,,Sea_snail,,ARMSMc#019,5.13,0.010151,motile even though S
ARMS19S#014,2019,Coin,1,0380,Y,,Mollusca,Gastropoda,,Sea_snail,,ARMSMc#019,5.01,0.009827,motile even though S
ARMS19M#243,2019,Coin,7,2220,Y,,Mollusca,Gastropoda,,Sea_snail,,ARMSMc#019,23.42,0.059534,
ARMS19M#255,2019,Coin,7,2221,Y,,Mollusca,Gastropoda,,Sea_snail,,ARMSMc#019,21.98,0.055646,
ARMS19M#361,2019,Moresby,9,2763,Y,,Mollusca,Gastropoda,,Sea_snail,,ARMSMc#019,23.09,0.058643,
ARMS22M#35,2022,Moresby,4,7461,Y,7464,Mollusca,Gastropoda,,Sea_snail,,ARMSMc#019,34.49,0.089423,
ARMS21M#18,2021,Anglaise,1,2953,Y,,Arthropoda,Malacostraca,Decapoda,Shrimp,,ARMSMc#020,3.241,0.002350966,
ARMS19M#173,2019,Anglaise,5,1715,Y,,Arthropoda,Malacostraca,Decapoda,Shrimp,1,ARMSMc#020,2.731,0.00212704,
ARMS19M#173,2019,Anglaise,5,1715,Y,,Arthropoda,Malacostraca,Decapoda,Shrimp,2,ARMSMc#020,2.326,0.001973658,
