Label,Year,Site,ARMS_number,DSC,Scaled,DSC_extra,Phyla,Class,Order,General_name,Abundance_in_image,MorphoID,Notes
ARMS19M#244,2019,Coin,7,2229,Y,,Arthropoda,Malacostraca,Decapoda,Shrimp,2,ARMSMc#020,
ARMS21M#220,2021,Anglaise,3,4561,Y,,Mollusca,Bivalvia,,Mussel,1,ARMSMc#105,
ARMS21M#221,2021,Anglaise,3,4564,Y,4565,Mollusca,Gastropoda,,Sea_snail,1,ARMSMc#177,
ARMS21M#222,2021,Anglaise,3,4567,Y,"4569, 4571",Arthropoda,Malacostraca,Decapoda,Crab,1,ARMSMc#207,decorator crab
ARMS19M#256,2019,Coin,7,2231,Y,,Arthropoda,Malacostraca,Decapoda,Shrimp,2,ARMSMc#020,
ARMS21M#224,2021,Anglaise,3,4578,Y,,Annelida,Polychaeta,Phyllodocida,Scaleworm,1,ARMSMc#137,
ARMS21M#225,2021,Anglaise,3,4579,Y,,Mollusca,Gastropoda,,Sea_snail,1,ARMSMc#178,
ARMS21M#226,2021,Anglaise,3,4586,Y,,Mollusca,Gastropoda,,Sea_snail,1,ARMSMc#179,
ARMS19M#444,2019,Moresby,9,2778,Y,,Arthropoda,Malacostraca,Decapoda,Shrimp,1,ARMSMc#020,
ARMS22M#225,2022,Anglaise,1,8403,N,"8386, 8387",Arthropoda,Malacostraca,Decapoda,Shrimp,1,ARMSMc#020,figure out size of tiles for scale
ARMS21M#229,2021,Anglaise,3,4596,Y,,Annelida,,,Worm,1,ARMSMc#149,
ARMS22M#278,2022,Anglaise,2,IMG_0570,Y,,Arthropoda,Malacostraca,Decapoda,Shrimp,1,ARMSMc#020,preserved 2.5 years
ARMS21M#231,2021,Anglaise,3,4600,Y,,Mollusca,Gastropoda,Neogastropoda,Olive_snail,1,ARMSMc#164,
ARMS21M#232,2021,Anglaise,3,4602,Y,,Echinodermata,Ophiuroidea,,Brittlestar,1,ARMSMc#057,
ARMS22M#440,2022,Moresby,6,8984,Y,,Arthropoda,Malacostraca,Decapoda,Shrimp,7,ARMSMc#020,
ARMS21M#234,2021,Anglaise,3,4607,Y,4609,Arthropoda,Malacostraca,Decapoda,Spider_crab,1,ARMSMc#211,
ARMS21M#235,2021,Anglaise,3,4611,Y,,Mollusca,Gastropoda,Littorinimorpha,Cowry,1,ARMSMc#159,
ARMS21M#236,2021,Anglaise,3,4613,Y,,Arthropoda,Malacostraca,Decapoda,Crab,1,ARMSMc#269,
ARMS21M#195,2021,Anglaise,3,4380,Y,4381,Chordata,Actinopterygii,Blenniiformes,Fish,1,ARMSMc#023,
ARMS21M#238,2021,Anglaise,3,4623,Y,,Mollusca,Gastropoda,,Sea_snail,1,ARMSMc#180,
ARMS21M#484,2021,Coin,1,6262,Y,6263,Chordata,Actinopterygii,Blenniiformes,Fish,1,ARMSMc#023,
ARMS21M#558,2021,Coin,2,6634,Y,6636,Chordata,Actinopterygii,Blenniiformes,Fish,1,ARMSMc#023,
ARMS21M#241,2021,Anglaise,3,4636,Y,,Mollusca,Gastropoda,,Sea_snail,1,ARMSMc#172,
ARMS21M#242,2021,Anglaise,3,4638,Y,,Mollusca,Gastropoda,,Sea_snail,2,ARMSMc#181,
ARMS21M#243,2021,Anglaise,3,4641,Y,,Annelida,Polychaeta,Phyllodocida,Scaleworm,1,ARMSMc#049,
ARMS19S#001,2019,Coin,1,0353,Y,,Chordata,Actinopterygii,Blenniiformes,Fish,1,ARMSMc#023,motile even though S
ARMS19M#007,2019,Coin,2,0571,Y,,Chordata,Actinopterygii,Blenniiformes,Fish,1,ARMSMc#023,
ARMS22M#188,2022,Anglaise,1,8298,Y,8299,Chordata,Actinopterygii,Blenniiformes,Fish,1,ARMSMc#023,
ARMS22M#415,2022,Moresby,6,8888,Y,,Chordata,Actinopterygii,Blenniiformes,Fish,1,ARMSMc#023,
